# AIDA Mapping FEEs to position in AIDA (Strips etc.)
#
# FEE No.	DSSSD No.	Front/Back	Left/Right/Top/Bottom
#   				0 = Front	1 = Left/Top
#				1 = Back	2 = Right/Bottom
#
#
    1		1		1		1		
    2 		2		1		1
    3 		6		0		1
    4 		5		0		1
    5 		6		1		2
    6 		5		1		2
    7 		5		0		2
    8 		6		0		2
    9 		3		1		1
    10 		4		1		1
    11 		4		0		1
    12 		3		0		1
    13 		4		1		2
    14 		3		1		2
    15 		3		0		2
    16 		4		0		2
    17 		5		1		1
    18 		6		1		1
    19 		2		0		1
    20 		1		0		1
    21 		2		1		2
    22 		1		1		2
    23 		1		0		2
    24 		2		0		2
